"Facility Satisfaction","Curriculum Quality","Teaching Learning","Campus Services","Student Support","Digital Readiness","Wellbeing","Overall Satisfaction","Sector","Gender"
56.6666666666667,61.8181818181818,NA,NA,45,60,60,58,"Public","Female"
53.3333333333333,69.0909090909091,NA,60,35,40,60,56.969696969697,"Public","Female"
61.6666666666667,56.3636363636364,NA,NA,60,60,60,59.3333333333333,"Public","Male"
58.3333333333333,45.4545454545455,NA,NA,56,30,60,51.25,"Public","Male"
65,61.8181818181818,20,60,46.6666666666667,40,80,59.375,"Public","Female"
53.3333333333333,74.5454545454545,NA,NA,50,60,60,62.6666666666667,"Public","Male"
81.6666666666667,58.1818181818182,NA,NA,68,40,60,66.6666666666667,"Public","Male"
41.6666666666667,47.2727272727273,40,60,70,53.3333333333333,60,50.5882352941176,"Public","Female"
65,50.9090909090909,NA,NA,70,30,40,56.551724137931,"Public","Female"
91.6666666666667,98.1818181818182,NA,60,70,80,100,88.75,"Public","Male"
80,80,NA,60,66.6666666666667,50,80,75.4838709677419,"Public","Female"
48.3333333333333,60,NA,60,55,50,60,54.375,"Public","Female"
53.3333333333333,76.3636363636364,NA,60,60,50,60,62.5,"Public","Female"
40,38.1818181818182,NA,NA,73.3333333333333,20,60,42.8571428571429,"Public","Female"
20,23.6363636363636,NA,60,55,100,100,33.5483870967742,"Public","Female"
80,80,NA,60,60,NA,60,74.6666666666667,"Public","Female"
48.3333333333333,20,NA,NA,52,40,60,41.25,"Public","Male"
38.3333333333333,43.6363636363636,NA,NA,40,33.3333333333333,40,40,"Private","Male"
36.6666666666667,34.5454545454545,NA,NA,35,40,40,35.8620689655172,"Public","Male"
70,63.6363636363636,NA,NA,60,40,60,62.5806451612903,"Private","Male"
43.3333333333333,40,NA,NA,50,NA,60,46,"Public","Female"
55,60,NA,NA,40,60,60,55.3333333333333,"Public","Male"
55,60,40,NA,64,40,60,57.5,"Public","Male"
73.3333333333333,60,NA,NA,64,NA,80,68,"Public","Female"
65,80,NA,NA,60,60,60,68.9655172413793,"Public","Female"
53.3333333333333,67.2727272727273,NA,60,65,60,60,60.625,"Public","Female"
53.3333333333333,67.2727272727273,NA,NA,65,53.3333333333333,80,60,"Public","Female"
36.6666666666667,20,NA,NA,66.6666666666667,20,80,34.2857142857143,"Public","Female"
50,65.4545454545455,40,NA,60,50,60,56.7741935483871,"Public","Female"
36.6666666666667,27.2727272727273,40,NA,60,40,60,38.1818181818182,"Public","Female"
81.6666666666667,78.1818181818182,NA,NA,65,NA,100,76,"Public","Male"
80,78.1818181818182,NA,NA,40,100,100,78.5714285714286,"Public","Female"
58.3333333333333,81.8181818181818,NA,NA,70,NA,60,67.3333333333333,"Public","Female"
80,80,NA,60,53.3333333333333,80,80,74.8387096774193,"Private","Male"
78.3333333333333,74.5454545454545,40,NA,60,40,60,71.3333333333333,"Public","Female"
31.6666666666667,38.1818181818182,NA,NA,50,40,20,36.969696969697,"Private","Male"
53.3333333333333,58.1818181818182,NA,NA,52,30,60,55,"Public","Female"
78.3333333333333,100,NA,60,60,20,60,78.7096774193548,"Public","Female"
31.6666666666667,34.5454545454545,NA,NA,70,20,80,40,"Public","Female"
60,58.1818181818182,NA,NA,70,20,40,56.551724137931,"Public","Male"
56.6666666666667,60,NA,NA,55,60,60,58.7096774193548,"Public","Female"
78.3333333333333,80,NA,NA,64,70,80,74.375,"Public","Male"
61.6666666666667,38.1818181818182,NA,NA,70,20,20,50,"Public","Male"
58.3333333333333,60,NA,NA,70,40,60,57.5,"Public","Female"
31.6666666666667,40,NA,60,60,40,40,40,"Public","Female"
65,60,NA,60,65,40,80,63.125,"Public","Female"
36.6666666666667,40,40,NA,60,40,40,41.2903225806452,"Public","Male"
60,69.0909090909091,NA,NA,73.3333333333333,40,60,65.3333333333333,"Public","Female"
65,72.7272727272727,40,NA,65,NA,80,67.0967741935484,"Public","Female"
55,43.6363636363636,NA,NA,50,40,40,48.9655172413793,"Public","Female"
70,60,NA,60,68,100,60,66.4516129032258,"Public","Male"
66.6666666666667,43.6363636363636,NA,NA,70,20,40,55.8620689655172,"Public","Female"
51.6666666666667,41.8181818181818,40,60,65,50,60,51.5151515151515,"Public","Male"
71.6666666666667,67.2727272727273,NA,NA,60,40,60,66.4285714285714,"Public","Male"
76.6666666666667,58.1818181818182,NA,NA,55,NA,80,65.5172413793103,"Public","Male"
80,80,NA,NA,50,100,80,75.4838709677419,"Public","Female"
70,58.1818181818182,NA,NA,65,40,60,62.5806451612903,"Public","Male"
80,89.0909090909091,20,NA,55,100,80,78.75,"Public","Female"
56.6666666666667,54.5454545454545,NA,NA,60,40,80,56.1290322580645,"Public","Female"
60,56.3636363636364,40,NA,55,60,80,58.125,"Public","Female"
80,80,NA,NA,55,NA,60,75.7142857142857,"Public","Female"
81.6666666666667,61.8181818181818,NA,60,40,60,60,68.3870967741936,"Public","Male"
75,60,NA,NA,55,70,80,66.25,"Public","Male"
30,47.2727272727273,NA,NA,65,50,60,45,"Public","Female"
90,98.1818181818182,NA,NA,55,100,100,88.6666666666667,"Public","Male"
76.6666666666667,72.7272727272727,NA,NA,60,NA,60,73.1034482758621,"Public","Female"
68.3333333333333,60,NA,NA,60,50,100,63.3333333333333,"Public","Female"
76.6666666666667,76.3636363636364,NA,NA,50,60,60,72.4137931034483,"Public","Female"
61.6666666666667,70.9090909090909,40,NA,64,60,60,64.5161290322581,"Public","Female"
55,60,NA,NA,55,NA,60,56.551724137931,"Private","Male"
76.6666666666667,67.2727272727273,40,NA,20,NA,80,65.7142857142857,"Public","Male"
76.6666666666667,70.9090909090909,NA,60,60,60,60,72,"Private","Female"
86.6666666666667,87.2727272727273,NA,NA,40,NA,60,77.9310344827586,"Public","Female"
58.3333333333333,76.3636363636364,NA,60,75,NA,60,67.0967741935484,"Public","Female"
76.6666666666667,70.9090909090909,NA,NA,66.6666666666667,60,80,72.8571428571429,"Public","Female"
48.3333333333333,76.3636363636364,NA,NA,60,NA,80,61.3333333333333,"Public","Male"
66.6666666666667,61.8181818181818,NA,NA,66.6666666666667,20,60,62.7586206896552,"Public","Female"
80,69.0909090909091,NA,60,60,20,60,70.3225806451613,"Public","Male"
65,63.6363636363636,NA,60,60,NA,60,62.7586206896552,"Public","Female"
76.6666666666667,83.6363636363636,40,NA,66.6666666666667,60,60,75.8620689655172,"Public","Female"
31.6666666666667,29.0909090909091,NA,NA,40,50,60,33.1034482758621,"Public","Female"
51.6666666666667,65.4545454545455,NA,60,65,50,60,58.7096774193548,"Public","Female"
60,60,NA,NA,60,40,60,58.0645161290323,"Public","Male"
58.3333333333333,74.5454545454545,NA,NA,75,80,60,68.3870967741936,"Public","Female"
45,20,NA,NA,20,20,60,32.5925925925926,"Public","Female"
45,47.2727272727273,NA,NA,53.3333333333333,40,60,48.75,"Public","Female"
68.3333333333333,65.4545454545455,NA,NA,68,NA,80,67.3333333333333,"Public","Female"
40,20,40,60,35,50,40,35.1515151515151,"Public","Female"
58.3333333333333,60,NA,NA,55,60,80,59.3333333333333,"Private","Female"
53.3333333333333,60,NA,60,60,20,60,55.8620689655172,"Public","Female"
65,69.0909090909091,NA,NA,53.3333333333333,40,80,65,"Public","Female"
53.3333333333333,49.0909090909091,NA,60,60,53.3333333333333,60,53.9393939393939,"Public","Female"
71.6666666666667,92.7272727272727,NA,NA,60,NA,80,76.7741935483871,"Public","Male"
41.6666666666667,70.9090909090909,NA,NA,60,20,20,54,"Public","Male"
58.3333333333333,47.2727272727273,NA,NA,65,40,80,55.3333333333333,"Public","Male"
51.6666666666667,52.7272727272727,NA,NA,40,20,60,50.6666666666667,"Public","Female"
68.3333333333333,67.2727272727273,NA,NA,55,40,60,63.8709677419355,"Public","Male"
76.6666666666667,83.6363636363636,NA,NA,55,50,100,74.8387096774193,"Public","Female"
71.6666666666667,80,NA,NA,60,NA,60,72.4137931034483,"Public","Male"
56.6666666666667,56.3636363636364,NA,NA,60,40,60,55,"Private","Male"
36.6666666666667,25.4545454545455,NA,NA,53.3333333333333,40,60,35.1724137931034,"Public","Female"
70,72.7272727272727,NA,NA,60,70,60,69.0322580645161,"Public","Female"
55,58.1818181818182,NA,60,60,50,80,58.75,"Public","Female"
43.3333333333333,23.6363636363636,NA,NA,70,40,40,40,"Private","Male"
50,69.0909090909091,NA,60,85,20,80,61.2121212121212,"Public","Female"
38.3333333333333,20,NA,NA,60,20,60,35.3333333333333,"Public","Male"
61.6666666666667,67.2727272727273,NA,NA,60,NA,80,65.7142857142857,"Public","Female"
51.6666666666667,49.0909090909091,NA,60,40,20,20,47.5862068965517,"Public","Male"
68.3333333333333,67.2727272727273,NA,NA,55,40,60,65.1612903225807,"Public","Male"
60,61.8181818181818,NA,NA,73.3333333333333,20,60,60.7142857142857,"Public","Female"
73.3333333333333,74.5454545454545,NA,NA,46.6666666666667,NA,80,70.3448275862069,"Public","Female"
98.3333333333333,78.1818181818182,NA,NA,60,80,100,84,"not determined","Female"
46.6666666666667,47.2727272727273,NA,NA,70,20,60,50,"Public","Female"
80,80,NA,NA,60,NA,60,74.4827586206897,"Public","Female"
46.6666666666667,58.1818181818182,NA,NA,60,50,60,53.75,"Private","Female"
58.3333333333333,56.3636363636364,NA,60,53.3333333333333,20,60,54.6666666666667,"Public","Male"
60,69.0909090909091,40,60,68,53.3333333333333,80,64,"Public","Female"
55,60,NA,60,65,60,80,59.375,"Public","Female"
58.3333333333333,65.4545454545455,20,NA,65,50,80,61.875,"Public","Female"
80,80,NA,NA,60,80,100,77.3333333333333,"Public","Female"
36.6666666666667,38.1818181818182,NA,NA,60,20,20,38.5714285714286,"Public","Female"
45,49.0909090909091,NA,60,66.6666666666667,40,60,49.6774193548387,"Public","Female"
78.3333333333333,70.9090909090909,NA,NA,60,40,60,71.6129032258064,"Public","Female"
100,80,NA,NA,56,46.6666666666667,60,78.7878787878788,"Public","Male"
65,69.0909090909091,NA,NA,65,80,40,66.6666666666667,"Public","Female"
75,69.0909090909091,NA,NA,40,50,20,64.5161290322581,"Public","Female"
53.3333333333333,61.8181818181818,NA,NA,65,60,80,58.7096774193548,"Public","Male"
40,41.8181818181818,NA,60,65,20,60,44.6666666666667,"Public","Male"
80,94.5454545454545,NA,NA,65,40,100,82.5806451612903,"Public","Female"
88.3333333333333,72.7272727272727,NA,NA,60,NA,60,75.1724137931035,"Private","Male"
93.3333333333333,89.0909090909091,NA,NA,70,70,80,84.375,"Public","Male"
75,100,NA,NA,80,40,100,83.3333333333333,"Private","Female"
83.3333333333333,69.0909090909091,NA,NA,68,60,80,74.1935483870968,"Private","Female"
56.6666666666667,80,NA,NA,70,40,80,67.741935483871,"Public","Male"
60,60,NA,NA,75,NA,60,62.6666666666667,"Public","Female"
66.6666666666667,67.2727272727273,40,NA,65,50,60,64.375,"Public","Female"
70,78.1818181818182,NA,NA,60,40,80,69.6774193548387,"Public","Male"
63.3333333333333,60,NA,60,55,60,60,60,"Private","Male"
80,80,NA,NA,45,40,60,70.9677419354839,"Public","Female"
88.3333333333333,72.7272727272727,NA,NA,65,20,60,75.4838709677419,"Public","Female"
48.3333333333333,52.7272727272727,NA,NA,55,53.3333333333333,60,51.25,"Public","Female"
38.3333333333333,43.6363636363636,NA,60,73.3333333333333,60,60,46.25,"Private","Female"
48.3333333333333,60,NA,NA,56,20,80,54,"Public","Female"
20,23.6363636363636,NA,NA,40,40,60,26.8965517241379,"Public","Female"
51.6666666666667,49.0909090909091,NA,60,65,20,60,52,"Public","Male"
75,83.6363636363636,NA,NA,50,70,80,73.5483870967742,"Private","Male"
83.3333333333333,80,NA,NA,70,20,80,76.7741935483871,"Public","Female"
90,94.5454545454545,NA,NA,85,50,20,83.75,"Public","Male"
63.3333333333333,63.6363636363636,NA,NA,68,50,60,62.5,"Public","Female"
40,30.9090909090909,NA,NA,60,40,60,39.3333333333333,"Public","Female"
80,67.2727272727273,NA,NA,60,100,60,70.3225806451613,"Private","Male"
60,60,NA,NA,73.3333333333333,20,100,62,"Public","Female"
65,81.8181818181818,NA,NA,55,80,100,71.3333333333333,"Private","Female"
66.6666666666667,69.0909090909091,NA,60,66.6666666666667,NA,80,67.3333333333333,"Public","Female"
91.6666666666667,81.8181818181818,NA,60,60,60,60,79.3548387096774,"Public","Female"
41.6666666666667,54.5454545454545,NA,NA,66.6666666666667,60,80,52.4137931034483,"Public","Female"
80,80,NA,NA,70,60,60,76.875,"Public","Male"
73.3333333333333,70.9090909090909,NA,NA,60,NA,40,69.2857142857143,"Public","Female"
60,60,NA,NA,64,40,60,59.375,"Public","Female"
81.6666666666667,49.0909090909091,NA,NA,55,40,80,62.5806451612903,"Public","Female"
23.3333333333333,20,NA,NA,20,20,60,23.0769230769231,"Public","Female"
58.3333333333333,70.9090909090909,NA,NA,53.3333333333333,NA,80,64.8275862068965,"Public","Female"
30,30.9090909090909,NA,NA,60,33.3333333333333,60,34.8387096774194,"Public","Female"
55,56.3636363636364,NA,NA,64,50,60,57.5757575757576,"Public","Female"
55,69.0909090909091,NA,NA,45,60,80,58.0645161290323,"Private","Male"
50,58.1818181818182,NA,NA,60,60,60,55.3333333333333,"Public","Female"
73.3333333333333,78.1818181818182,NA,NA,56,NA,80,73.3333333333333,"Public","Female"
50,52.7272727272727,NA,NA,68,40,60,53.125,"Public","Female"
80,81.8181818181818,NA,NA,64,50,80,76.1290322580645,"Public","Female"
35,60,NA,NA,80,40,80,51.0344827586207,"Public","Female"
31.6666666666667,36.3636363636364,NA,NA,60,20,20,37.3333333333333,"Public","Male"
48.3333333333333,30.9090909090909,NA,NA,20,20,60,40,"Public","Female"
60,60,NA,60,40,NA,40,56.7741935483871,"Public","Female"
70,85.4545454545455,NA,NA,66.6666666666667,50,100,76,"Public","Female"
60,25.4545454545455,NA,NA,65,50,20,46,"Public","Male"
60,60,NA,NA,50,20,60,58.6666666666667,"Public","Female"
63.3333333333333,65.4545454545455,40,60,60,80,60,64.1176470588235,"Public","Female"
53.3333333333333,69.0909090909091,NA,60,65,NA,80,61.3333333333333,"Public","Male"
100,90.9090909090909,NA,NA,65,100,100,90.3225806451613,"Public","Female"
63.3333333333333,52.7272727272727,NA,NA,60,50,60,59.3548387096774,"Public","Female"
71.6666666666667,74.5454545454545,NA,NA,70,40,60,70.625,"Public","Female"
65,43.6363636363636,NA,NA,73.3333333333333,20,60,55.8620689655172,"Public","Female"
78.3333333333333,85.4545454545455,NA,60,65,80,80,77.4193548387097,"Public","Female"
58.3333333333333,70.9090909090909,NA,NA,60,40,60,62.7586206896552,"Public","Female"
70,69.0909090909091,NA,NA,73.3333333333333,80,60,70,"Public","Male"
48.3333333333333,40,NA,60,60,20,80,46.8965517241379,"Public","Female"
36.6666666666667,38.1818181818182,NA,NA,73.3333333333333,40,20,42.7586206896552,"Public","Female"
45,80,NA,NA,70,20,60,62,"Public","Female"
23.3333333333333,20,NA,NA,30,30,60,26.6666666666667,"Public","Female"
91.6666666666667,96.3636363636364,NA,NA,60,60,60,84.2424242424242,"Public","Male"
48.3333333333333,50.9090909090909,NA,NA,65,50,60,53.125,"Public","Female"
60,74.5454545454545,NA,NA,70,60,80,67.741935483871,"Public","Female"
76.6666666666667,76.3636363636364,NA,NA,65,NA,80,74,"Private","Male"
93.3333333333333,78.1818181818182,NA,NA,80,60,60,82,"Public","Male"
38.3333333333333,40,NA,NA,45,NA,80,41.3793103448276,"Public","Male"
28.3333333333333,47.2727272727273,NA,60,60,20,60,42,"Public","Female"
95,90.9090909090909,NA,NA,70,50,80,85.8064516129032,"Public","Female"
100,87.2727272727273,NA,NA,60,70,80,86.6666666666667,"Public","Female"
23.3333333333333,27.2727272727273,NA,NA,55,100,100,35.4838709677419,"Public","Male"
60,58.1818181818182,NA,NA,53.3333333333333,60,60,57.3333333333333,"Public","Female"
78.3333333333333,72.7272727272727,NA,NA,80,50,80,74.4827586206897,"Public","Female"
80,80,NA,60,50,20,60,71.875,"Public","Female"
76.6666666666667,80,NA,60,64,50,60,73.125,"Public","Female"
63.3333333333333,63.6363636363636,NA,NA,60,60,40,61.9354838709677,"Public","Male"
80,80,NA,NA,65,20,80,74,"Private","Female"
100,74.5454545454545,NA,NA,65,80,60,82.6666666666667,"Private","Male"
45,60,NA,NA,68,40,80,56.3636363636364,"Public","Female"
81.6666666666667,72.7272727272727,NA,NA,60,40,80,72.5,"Public","Female"
30,96.3636363636364,NA,NA,80,NA,40,62.7586206896552,"Public","Female"
56.6666666666667,32.7272727272727,NA,60,70,20,40,49.0322580645161,"Public","Female"
20,60,NA,NA,20,20,60,36.25,"Public","Female"
63.3333333333333,40,NA,60,73.3333333333333,40,60,54.4827586206897,"Public","Female"
60,60,NA,NA,65,50,80,60.6666666666667,"Public","Female"
75,81.8181818181818,NA,NA,65,NA,60,75.3333333333333,"Public","Male"
45,43.6363636363636,NA,NA,50,80,60,48,"Public","Female"
33.3333333333333,20,NA,NA,45,30,80,32.258064516129,"Public","Male"
70,78.1818181818182,NA,NA,70,53.3333333333333,80,71.6129032258064,"Public","Female"
78.3333333333333,83.6363636363636,NA,NA,65,NA,80,77.9310344827586,"Public","Male"
71.6666666666667,69.0909090909091,NA,NA,46.6666666666667,40,60,66.8965517241379,"Public","Female"
56.6666666666667,41.8181818181818,NA,NA,40,40,80,49.3333333333333,"Public","Female"
71.6666666666667,61.8181818181818,NA,NA,70,80,80,68.6666666666667,"Public","Female"
83.3333333333333,72.7272727272727,NA,60,66.6666666666667,30,60,71.6129032258064,"Public","Female"
50,52.7272727272727,NA,NA,50,40,40,50.7142857142857,"Public","Female"
93.3333333333333,96.3636363636364,NA,60,60,100,60,87.0967741935484,"Public","Male"
76.6666666666667,78.1818181818182,NA,60,65,70,60,72.7272727272727,"Public","Female"
80,100,NA,60,73.3333333333333,50,100,83.8709677419355,"Public","Female"
63.3333333333333,54.5454545454545,NA,60,46.6666666666667,NA,80,59.3103448275862,"Public","Female"
40,36.3636363636364,NA,NA,73.3333333333333,20,60,44.6666666666667,"Public","Female"
60,60,NA,NA,65,40,60,60,"Public","Female"
55,60,NA,60,53.3333333333333,40,60,56.25,"Public","Female"
73.3333333333333,80,NA,NA,53.3333333333333,NA,80,73.1034482758621,"Public","Male"
95,74.5454545454545,NA,60,66.6666666666667,60,60,79.3333333333333,"Public","Female"
66.6666666666667,78.1818181818182,NA,NA,70,40,80,71.0344827586207,"Public","Male"
